time,open,high,low,close,volume,ticker
2020-08-31,4150,4150,4040,4150,2172640,ELC
2020-09-01,3980,4150,3920,4010,820790,ELC
2020-09-03,3990,4130,3990,4080,588230,ELC
2020-09-04,3980,4090,3960,4059,895520,ELC
2020-09-07,4059,4270,4059,4090,664280,ELC
2020-09-08,4210,4240,4059,4160,408750,ELC
2020-09-09,4059,4260,4019,4210,489080,ELC
2020-09-10,4270,4440,4270,4290,540440,ELC
2020-09-11,4290,4320,4190,4210,353130,ELC
2020-09-14,4270,4270,4120,4190,500330,ELC
2020-09-15,4190,4260,4140,4190,510590,ELC
2020-09-16,4160,4390,4140,4340,575060,ELC
2020-09-17,4340,4580,4330,4420,710350,ELC
2020-09-18,4420,4450,4340,4360,326780,ELC
2020-09-21,4360,4360,4240,4290,392420,ELC
2020-09-22,4160,4300,4160,4250,350360,ELC
2020-09-23,4240,4300,4220,4220,260750,ELC
2020-09-24,4220,4240,4090,4160,339730,ELC
2020-09-25,4160,4180,4110,4160,284760,ELC
2020-09-28,4120,4210,4120,4130,244720,ELC
2020-09-29,4130,4210,4100,4110,217520,ELC
2020-09-30,4110,4140,4090,4090,206280,ELC
2020-10-01,4090,4110,4010,4040,357690,ELC
2020-10-02,4040,4059,3760,3960,349680,ELC
2020-10-05,3930,4180,3900,4160,373350,ELC
2020-10-06,4260,4260,4090,4120,159230,ELC
2020-10-07,4160,4160,4070,4070,148510,ELC
2020-10-08,4070,4070,4019,4040,295860,ELC
2020-10-09,4040,4040,3990,3990,181430,ELC
2020-10-12,3990,4010,3890,3890,232410,ELC
2020-10-13,3890,3980,3860,3910,109030,ELC
2020-10-14,3920,3930,3890,3900,199900,ELC
2020-10-15,3900,4030,3840,3880,249650,ELC
2020-10-16,3890,3900,3860,3870,47940,ELC
2020-10-19,3870,3890,3860,3860,157630,ELC
2020-10-20,3840,4010,3840,3990,143400,ELC
2020-10-21,3990,4050,3950,3990,161920,ELC
2020-10-22,3990,4040,3950,3970,131970,ELC
2020-10-23,3970,3990,3970,3970,194490,ELC
2020-10-26,4019,4019,3970,3970,110030,ELC
2020-10-27,3970,3980,3950,3970,72280,ELC
2020-10-28,3970,3970,3710,3710,197110,ELC
2020-10-29,3740,3740,3630,3710,80060,ELC
2020-10-30,3740,3740,3690,3690,50370,ELC
2020-11-02,3800,3800,3610,3690,90030,ELC
2020-11-03,3690,3940,3690,3860,72960,ELC
2020-11-04,3740,3940,3740,3860,504400,ELC
2020-11-05,3860,3860,3810,3820,100430,ELC
2020-11-06,3800,3820,3760,3800,89520,ELC
2020-11-09,3800,3860,3790,3840,148080,ELC
2020-11-10,3920,3930,3800,3840,145240,ELC
2020-11-11,3840,3860,3750,3840,113030,ELC
2020-11-12,3760,3830,3760,3790,74620,ELC
2020-11-13,3860,3860,3770,3840,74480,ELC
2020-11-16,3840,3840,3780,3800,72510,ELC
2020-11-17,3800,3810,3770,3800,64780,ELC
2020-11-18,3800,3800,3710,3790,102630,ELC
2020-11-19,3790,4050,3770,4050,783360,ELC
2020-11-20,4330,4330,4090,4310,741550,ELC
2020-11-23,4310,4320,4090,4180,126950,ELC
2020-11-24,4160,4160,4010,4059,490060,ELC
2020-11-25,4090,4190,3960,4010,256870,ELC
2020-11-26,4010,4150,3990,4010,478550,ELC
2020-11-27,4010,4190,4000,4090,246250,ELC
2020-11-30,4090,4090,4010,4080,82990,ELC
2020-12-01,4080,4080,3810,4040,170620,ELC
2020-12-02,4040,4250,4040,4200,391920,ELC
2020-12-03,4270,4360,4210,4320,567910,ELC
2020-12-04,4340,4340,4240,4270,326460,ELC
2020-12-07,4270,4450,4240,4390,499770,ELC
2020-12-08,4390,4410,4320,4400,341450,ELC
2020-12-09,4410,4590,4410,4480,474490,ELC
2020-12-10,4490,4490,4270,4270,430980,ELC
2020-12-11,4270,4370,4270,4350,274660,ELC
2020-12-14,4360,4400,4360,4390,307680,ELC
2020-12-15,4390,4400,4330,4330,451070,ELC
2020-12-16,4380,4560,4360,4510,677360,ELC
2020-12-17,4510,4810,4510,4810,1044520,ELC
2020-12-18,4850,4970,4850,4970,506170,ELC
2020-12-21,5000,5150,4910,5100,597630,ELC
2020-12-22,4990,5130,4960,5070,595780,ELC
2020-12-23,5070,5240,4970,5080,718100,ELC
2020-12-24,5070,5070,4730,4860,659070,ELC
2020-12-25,4900,5060,4740,4960,428420,ELC
2020-12-28,5030,5060,4890,4910,557320,ELC
2020-12-29,4960,5260,4910,5210,696710,ELC
2020-12-30,5180,5510,5090,5390,695590,ELC
2020-12-31,5440,5440,5260,5440,443620,ELC
2021-01-04,5390,5500,5390,5440,733000,ELC
2021-01-05,5430,5780,5390,5680,940700,ELC
2021-01-06,5680,5850,5610,5660,824800,ELC
2021-01-07,5660,5940,5590,5940,1055900,ELC
2021-01-08,6350,6350,5970,6140,587500,ELC
2021-01-11,6320,6320,6030,6200,352600,ELC
2021-01-12,6230,6260,6140,6230,407900,ELC
2021-01-13,6320,6640,6200,6640,1010500,ELC
2021-01-14,6960,7080,6730,6960,969000,ELC
2021-01-15,7200,7310,7020,7310,613300,ELC
2021-01-18,7490,7490,7200,7230,619400,ELC
2021-01-19,7230,7230,6730,6730,513700,ELC
2021-01-20,6730,6730,6260,6490,568400,ELC
2021-01-21,6840,6840,6520,6790,384100,ELC
2021-01-22,6670,6700,6490,6550,486700,ELC
2021-01-25,6440,6790,6440,6670,385400,ELC
2021-01-26,6670,6670,6260,6440,309100,ELC
2021-01-27,6440,6550,6000,6230,588500,ELC
2021-01-28,5800,5970,5800,5800,340200,ELC
2021-01-29,5390,5840,5390,5680,298600,ELC
2021-02-01,5680,5790,5290,5460,309000,ELC
2021-02-02,5460,5590,5240,5590,361300,ELC
2021-02-03,5560,5820,5350,5610,223800,ELC
2021-02-04,5610,5630,5360,5610,145800,ELC
2021-02-05,5560,5630,5500,5630,310500,ELC
2021-02-08,5630,5830,5630,5680,323800,ELC
2021-02-09,5690,5910,5610,5910,176600,ELC
2021-02-17,6030,6320,5970,6320,397700,ELC
2021-02-18,6610,6610,6410,6610,612800,ELC
2021-02-19,6670,6700,6520,6610,271400,ELC
2021-02-22,6610,6640,6460,6550,329900,ELC
2021-02-23,6550,6550,6440,6550,373200,ELC
2021-02-24,6550,6590,6320,6440,299800,ELC
2021-02-25,6460,6550,6350,6440,248800,ELC
2021-02-26,6170,6550,6170,6440,142100,ELC
2021-03-01,6440,6670,6410,6640,451100,ELC
2021-03-02,6640,6670,6460,6460,355600,ELC
2021-03-03,6380,6550,6380,6440,449100,ELC
2021-03-04,6440,6460,6140,6200,537500,ELC
2021-03-05,6200,6290,5970,6110,421200,ELC
2021-03-08,6320,6440,6060,6440,489500,ELC
2021-03-09,6440,6870,6320,6870,913400,ELC
2021-03-10,6870,7200,6790,6910,2220000,ELC
2021-03-11,6940,6940,6670,6670,1085000,ELC
2021-03-12,6670,7050,6670,6870,1193900,ELC
2021-03-15,7140,7340,7020,7340,1937300,ELC
